14:25:26 INFO: openSocket successful
14:25:26 INFO: daveNewConnection: 61882288, Mpi=2, nrack=0, slot=2
14:25:26 INFO: connect plc success£¬ip: 127.0.0.1, port: 102
14:25:27 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:25:28 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:25:29 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:25:30 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:25:31 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:25:32 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:25:33 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:25:34 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:25:35 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:25:36 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:25:37 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:25:43 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:25:44 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:25:45 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:25:46 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:25:47 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:25:48 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:25:49 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:25:50 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:25:50 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:25:51 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:25:51 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:25:52 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:25:52 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:25:53 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:25:53 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:25:54 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:25:55 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:25:56 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:25:57 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:25:58 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:25:59 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:25:59 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:26:00 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:00 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:26:01 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:26:02 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:26:03 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:26:04 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:26:05 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:26:06 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:26:07 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:26:08 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:09 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:15 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:26:16 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:26:17 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:26:18 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:26:19 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:26:20 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:26:21 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:26:22 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:26:23 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:26:24 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:25 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:26:25 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:26 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:26:27 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:26:28 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:26:29 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:26:30 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:26:31 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:26:32 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:26:32 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:26:33 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:26:33 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:26:34 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:26:34 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:35 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:26:35 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:36 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:26:37 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:26:38 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:26:39 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:26:40 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:26:41 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:42 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:46 TVWALL: Ip:10.212.58.29£¬port:33445, info:{"key_id":12,"command":"SCREEN_CUT","reset":1,"screen_id":1,"number":1,"mode":1}
14:26:47 TVWALL: Ip:10.212.58.29£¬port:33445, info:{"key_id":12,"command":"MAP_IPC","TextBar":0,"maps":[{"ipc_id":"3301061001000701","monitor_id":1,"stream_type":1}]}
14:26:48 INFO: screen switch error: can not find data group:1,screen id:2 mode:2
14:26:48 INFO: screen switch error: can not find data group:1,screen id:3 mode:2
14:26:48 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:26:48 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:26:49 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:26:49 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:26:50 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:26:51 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:26:52 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:26:53 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:26:54 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
