12:29:38 INFO: openSocket failed
12:29:38 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.2, port-33445
12:29:40 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.3, port-33445
12:29:42 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.4, port-33445
12:29:48 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.2, port-33445
12:29:50 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.3, port-33445
12:29:52 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.4, port-33445
12:29:58 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.2, port-33445
12:29:59 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.3, port-33445
12:30:00 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.4, port-33445
12:30:06 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.2, port-33445
12:30:08 INFO: openSocket failed
12:30:08 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.3, port-33445
12:30:10 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.4, port-33445
12:30:16 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.2, port-33445
12:30:18 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.3, port-33445
12:30:20 INFO: wait HeartBeat timeout, tvwall_ip-10.60.1.4, port-33445
